GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.mobileapp.backend.security,CustomUserDetailsService,0,52,0,0,0,13,0,4,0,4
backend,com.mobileapp.backend.security,JwtTokenProvider,7,96,0,0,2,34,0,6,0,6
backend,com.mobileapp.backend.security,JwtAuthenticationFilter,0,82,0,8,0,23,0,8,0,4
backend,com.mobileapp.backend.security,JwtAuthenticationEntryPoint,0,34,0,0,0,10,0,2,0,2
backend,com.mobileapp.backend.controller,AdminController,0,72,0,2,0,17,0,11,0,10
backend,com.mobileapp.backend.controller,AuthController,0,34,0,0,0,10,0,4,0,4
backend,com.mobileapp.backend.controller,UserController,0,24,0,0,0,6,0,3,0,3
backend,com.mobileapp.backend.config,SecurityConfig,0,143,0,0,0,28,0,12,0,12
backend,com.mobileapp.backend.config,AdminInitializer,5,119,0,4,0,25,1,6,1,4
backend,com.mobileapp.backend.service,EmailService,8,75,0,0,3,20,0,3,0,3
backend,com.mobileapp.backend.service,AuthService,5,200,0,6,0,49,1,10,1,7
backend,com.mobileapp.backend.service,UserService,0,284,0,8,0,54,0,22,0,18
backend,com.mobileapp.backend.exception,GlobalExceptionHandler,1,87,1,1,1,24,1,12,0,12
